"Date","Open","High","Low","Close"
"13 Jan 2023","-","-","-","5471.21"
"12 Jan 2023","-","-","-","5419.30"
"11 Jan 2023","-","-","-","5393.94"
"10 Jan 2023","-","-","-","5328.66"
"09 Jan 2023","-","-","-","5380.38"
"06 Jan 2023","-","-","-","5362.04"
"05 Jan 2023","-","-","-","5405.32"
"04 Jan 2023","-","-","-","5385.42"
"03 Jan 2023","-","-","-","5469.14"
"02 Jan 2023","-","-","-","5508.02"
"30 Dec 2022","-","-","-","5436.76"
"29 Dec 2022","-","-","-","5454.93"
"28 Dec 2022","-","-","-","5460.15"
"27 Dec 2022","-","-","-","5478.59"
"26 Dec 2022","-","-","-","5393.30"
"23 Dec 2022","-","-","-","5276.56"
"22 Dec 2022","-","-","-","5426.52"
"21 Dec 2022","-","-","-","5411.70"
"20 Dec 2022","-","-","-","5501.80"
"19 Dec 2022","-","-","-","5517.87"
"16 Dec 2022","-","-","-","5471.90"
"15 Dec 2022","-","-","-","5542.77"
"14 Dec 2022","-","-","-","5635.24"
"13 Dec 2022","-","-","-","5583.80"
"12 Dec 2022","-","-","-","5573.83"
"09 Dec 2022","-","-","-","5540.09"
"08 Dec 2022","-","-","-","5611.03"
"07 Dec 2022","-","-","-","5574.70"
"06 Dec 2022","-","-","-","5626.37"
"05 Dec 2022","-","-","-","5642.35"
"02 Dec 2022","-","-","-","5597.40"
"01 Dec 2022","-","-","-","5579.40"
"30 Nov 2022","-","-","-","5463.60"
"29 Nov 2022","-","-","-","5341.74"
"28 Nov 2022","-","-","-","5303.09"
"25 Nov 2022","-","-","-","5321.92"
"24 Nov 2022","-","-","-","5282.80"
"23 Nov 2022","-","-","-","5253.80"
"22 Nov 2022","-","-","-","5250.37"
"21 Nov 2022","-","-","-","5216.99"
"18 Nov 2022","-","-","-","5263.11"
"17 Nov 2022","-","-","-","5292.85"
"16 Nov 2022","-","-","-","5340.52"
"15 Nov 2022","-","-","-","5385.89"
"14 Nov 2022","-","-","-","5369.13"
"11 Nov 2022","-","-","-","5269.46"
"10 Nov 2022","-","-","-","5227.89"
"09 Nov 2022","-","-","-","5288.95"
"07 Nov 2022","-","-","-","5376.04"
"04 Nov 2022","-","-","-","5325.53"
"03 Nov 2022","-","-","-","5233.80"
"02 Nov 2022","-","-","-","5280.88"
"01 Nov 2022","-","-","-","5284.66"
